Age,TotalPopulation-2020,Male-2020,Female-2020,TotalPopulation-2021,Male-2021,Female-2021,TotalPopulation-2022,Male-2022,Female-2022,TotalPopulation-2023,Male-2023,Female-2023
.0,"139,926","71,503","68,423","131,181","67,363","63,818","129,072","65,873","63,199","126,792","64,627","62,165"
.1,"142,824","72,937","69,887","138,583","70,718","67,865","130,605","67,042","63,563","129,077","65,809","63,268"
.2,"147,233","75,103","72,130","141,783","72,306","69,477","137,854","70,291","67,563","130,714","66,976","63,738"
.3,"150,442","76,851","73,591","146,061","74,470","71,591","140,901","71,856","69,045","137,579","70,136","67,443"
.4,"154,942","79,236","75,706","149,266","76,220","73,046","145,171","74,067","71,104","140,712","71,760","68,952"
.5,"156,015","79,817","76,198","153,750","78,641","75,109","148,273","75,677","72,596","144,919","73,854","71,065"
.6,"154,191","79,054","75,137","154,857","79,225","75,632","152,445","77,936","74,509","147,917","75,460","72,457"
.7,"153,752","78,485","75,267","153,091","78,456","74,635","153,670","78,628","75,042","152,123","77,731","74,392"
.8,"154,978","79,119","75,859","152,585","77,892","74,693","151,890","77,780","74,110","153,215","78,403","74,812"
.9,"157,608","81,031","76,577","154,026","78,630","75,396","151,405","77,316","74,089","151,561","77,658","73,903"
.10,"161,932","83,116","78,816","156,684","80,469","76,215","152,940","78,124","74,816","150,936","77,131","73,805"
.11,"165,573","84,598","80,975","160,984","82,584","78,400","155,631","79,930","75,701","152,599","77,914","74,685"
.12,"172,180","87,767","84,413","164,630","84,113","80,517","159,911","82,067","77,844","155,267","79,822","75,445"
.13,"172,694","87,925","84,769","171,233","87,242","83,991","163,393","83,465","79,928","159,633","81,955","77,678"
.14,"170,816","87,165","83,651","171,639","87,358","84,281","170,238","86,677","83,561","163,033","83,336","79,697"
.15,"170,311","87,300","83,011","169,760","86,609","83,151","170,631","86,790","83,841","169,864","86,491","83,373"
.16,"172,581","88,410","84,171","169,587","86,977","82,610","168,854","86,181","82,673","170,587","86,824","83,763"
.17,"171,244","87,559","83,685","171,947","88,142","83,805","169,151","86,792","82,359","168,994","86,341","82,653"
.18,"163,890","84,574","79,316","164,939","85,186","79,753","164,131","85,153","78,978","161,904","84,081","77,823"
.19,"163,440","83,598","79,842","161,275","82,654","78,621","158,976","81,810","77,166","160,159","82,478","77,681"
.20,"165,229","84,032","81,197","165,330","84,243","81,087","160,800","82,116","78,684","162,147","82,962","79,185"
.21,"162,328","82,580","79,748","164,593","83,770","80,823","163,984","83,648","80,336","161,887","82,669","79,218"
.22,"162,781","82,422","80,359","161,790","81,990","79,800","163,739","82,935","80,804","165,026","83,679","81,347"
.23,"164,007","82,834","81,173","161,168","81,979","79,189","160,950","81,584","79,366","165,280","83,587","81,693"
.24,"165,903","83,610","82,293","162,687","82,143","80,544","161,307","81,792","79,515","162,028","81,915","80,113"
.25,"169,790","85,579","84,211","164,302","82,985","81,317","162,140","81,973","80,167","162,116","82,008","80,108"
.26,"173,535","87,547","85,988","168,497","84,825","83,672","163,547","82,529","81,018","162,747","82,089","80,658"
.27,"175,728","88,501","87,227","171,713","86,666","85,047","167,426","84,237","83,189","163,954","82,802","81,152"
.28,"178,455","89,482","88,973","173,847","87,636","86,211","170,394","86,102","84,292","167,842","84,508","83,334"
.29,"179,180","90,006","89,174","176,370","88,416","87,954","172,005","86,652","85,353","170,164","85,927","84,237"
.30,"178,679","90,117","88,562","177,052","89,012","88,040","174,577","87,467","87,110","171,779","86,607","85,172"
.31,"173,795","87,872","85,923","176,623","89,109","87,514","175,298","87,984","87,314","174,291","87,291","87,000"
.32,"172,474","87,049","85,425","171,820","86,869","84,951","174,635","88,089","86,546","174,708","87,792","86,916"
.33,"171,899","86,872","85,027","170,454","85,902","84,552","169,693","85,724","83,969","173,848","87,666","86,182"
.34,"173,753","88,033","85,720","169,852","85,822","84,030","168,568","84,821","83,747","168,954","85,242","83,712"
.35,"174,899","88,585","86,314","171,483","86,839","84,644","167,894","84,765","83,129","167,610","84,373","83,237"
.36,"171,464","86,596","84,868","173,005","87,552","85,453","169,632","85,884","83,748","167,020","84,256","82,764"
.37,"173,846","87,578","86,268","169,636","85,675","83,961","170,882","86,444","84,438","168,643","85,369","83,274"
.38,"174,246","87,881","86,365","172,082","86,649","85,433","167,640","84,582","83,058","169,898","85,861","84,037"
.39,"172,585","87,060","85,525","172,557","86,922","85,635","170,075","85,393","84,682","166,573","83,902","82,671"
.40,"172,938","87,070","85,868","170,461","85,921","84,540","170,398","85,777","84,621","168,884","84,754","84,130"
.41,"165,987","83,327","82,660","171,211","86,292","84,919","168,596","84,991","83,605","169,091","85,040","84,051"
.42,"162,576","81,904","80,672","164,435","82,521","81,914","169,239","85,255","83,984","167,438","84,374","83,064"
.43,"160,754","80,888","79,866","160,885","80,957","79,928","162,553","81,567","80,986","168,167","84,712","83,455"
.44,"155,021","78,089","76,932","159,094","79,985","79,109","159,071","79,988","79,083","161,233","80,817","80,416"
.45,"156,243","78,376","77,867","153,266","77,030","76,236","157,022","78,843","78,179","157,613","79,124","78,489"
.46,"153,196","76,650","76,546","154,761","77,699","77,062","151,645","76,146","75,499","156,080","78,378","77,702"
.47,"154,962","77,429","77,533","151,540","75,844","75,696","152,830","76,681","76,149","150,529","75,471","75,058"
.48,"162,669","81,442","81,227","153,300","76,571","76,729","149,469","74,754","74,715","151,397","75,831","75,566"
.49,"171,896","86,207","85,689","160,933","80,540","80,393","151,296","75,522","75,774","148,205","74,104","74,101"
.50,"168,123","84,168","83,955","169,462","84,874","84,588","158,156","79,015","79,141","149,379","74,374","75,005"
.51,"162,000","81,088","80,912","166,273","83,218","83,055","167,261","83,679","83,582","156,957","78,311","78,646"
.52,"159,090","79,506","79,584","159,678","79,915","79,763","163,724","81,891","81,833","165,384","82,723","82,661"
.53,"159,874","79,692","80,182","156,993","78,413","78,580","157,191","78,631","78,560","161,895","80,960","80,935"
.54,"162,101","80,863","81,238","157,489","78,525","78,964","154,463","77,082","77,381","155,392","77,704","77,688"
.55,"167,702","83,252","84,450","159,297","79,314","79,983","154,651","76,928","77,723","152,343","75,933","76,410"
.56,"171,282","85,022","86,260","164,966","81,856","83,110","156,546","77,801","78,745","152,670","75,890","76,780"
.57,"171,794","85,054","86,740","168,039","83,268","84,771","161,787","80,121","81,666","154,297","76,616","77,681"
.58,"172,986","85,413","87,573","168,404","83,217","85,187","164,535","81,299","83,236","159,200","78,615","80,585"
.59,"173,691","85,643","88,048","169,447","83,602","85,845","164,828","81,293","83,535","161,951","79,836","82,115"
.60,"170,792","83,978","86,814","169,852","83,465","86,387","165,711","81,516","84,195","161,979","79,721","82,258"
.61,"167,680","82,134","85,546","167,082","81,969","85,113","166,190","81,395","84,795","162,829","79,875","82,954"
.62,"165,919","81,071","84,848","163,672","79,937","83,735","163,024","79,700","83,324","162,933","79,551","83,382"
.63,"161,911","78,862","83,049","161,609","78,741","82,868","159,453","77,588","81,865","159,579","77,759","81,820"
.64,"154,137","74,431","79,706","157,815","76,483","81,332","157,458","76,462","80,996","156,242","75,718","80,524"
.65,"150,090","72,191","77,899","150,046","72,207","77,839","153,496","74,112","79,384","154,059","74,479","79,580"
.66,"143,168","68,598","74,570","146,352","70,071","76,281","146,164","70,028","76,136","150,459","72,342","78,117"
.67,"136,456","65,101","71,355","139,538","66,573","72,965","142,413","67,908","74,505","143,045","68,223","74,822"
.68,"130,818","62,073","68,745","132,901","63,063","69,838","135,653","64,318","71,335","139,392","66,170","73,222"
.69,"124,263","58,385","65,878","127,362","60,166","67,196","129,273","61,075","68,198","132,763","62,726","70,037"
.70,"117,560","54,942","62,618","120,683","56,351","64,332","123,546","57,994","65,552","126,055","59,202","66,853"
.71,"113,196","52,559","60,637","114,075","53,021","61,054","117,249","54,426","62,823","120,522","56,335","64,187"
.72,"110,194","51,080","59,114","109,807","50,619","59,188","110,795","51,197","59,598","114,477","52,891","61,586"
.73,"115,113","53,389","61,724","106,495","49,000","57,495","106,296","48,629","57,667","107,739","49,474","58,265"
.74,"81,309","36,963","44,346","111,253","51,271","59,982","102,969","47,095","55,874","103,376","47,055","56,321"
.75,"77,376","34,925","42,451","78,279","35,363","42,916","107,177","49,101","58,076","99,619","45,373","54,246"
.76,"75,828","33,925","41,903","74,473","33,263","41,210","75,388","33,767","41,621","103,689","47,137","56,552"
.77,"77,425","34,216","43,209","72,503","32,148","40,355","71,366","31,673","39,693","72,567","32,325","40,242"
.78,"66,812","29,148","37,664","73,835","32,287","41,548","69,245","30,430","38,815","68,442","30,132","38,310"
.79,"59,508","25,550","33,958","63,490","27,316","36,174","70,232","30,270","39,962","66,191","28,722","37,469"
.80,"54,045","22,921","31,124","56,200","23,921","32,279","60,062","25,603","34,459","66,801","28,594","38,207"
.81,"50,509","21,142","29,367","50,889","21,245","29,644","53,095","22,307","30,788","57,012","24,024","32,988"
.82,"47,487","19,620","27,867","47,086","19,361","27,725","47,579","19,585","27,994","49,984","20,766","29,218"
.83,"42,370","17,284","25,086","44,121","17,936","26,185","43,856","17,792","26,064","44,551","18,136","26,415"
.84,"38,960","15,671","23,289","38,884","15,570","23,314","40,577","16,272","24,305","40,568","16,287","24,281"
.85+,"241,398","82,645","158,753","239,383","82,492","156,891","238,659","82,915","155,744","242,611","85,207","157,404"