Age,Male,Female
0,64627,62165
1,65809,63268
2,66976,63738
3,70136,67443
4,71760,68952
5,73854,71065
6,75460,72457
7,77731,74392
8,78403,74812
9,77658,73903
10,77131,73805
11,77914,74685
12,79822,75445
13,81955,77678
14,83336,79697
15,86491,83373
16,86824,83763
17,86341,82653
18,84081,77823
19,82478,77681
20,82962,79185
21,82669,79218
22,83679,81347
23,83587,81693
24,81915,80113
25,82008,80108
26,82089,80658
27,82802,81152
28,84508,83334
29,85927,84237
30,86607,85172
31,87291,87000
32,87792,86916
33,87666,86182
34,85242,83712
35,84373,83237
36,84256,82764
37,85369,83274
38,85861,84037
39,83902,82671
40,84754,84130
41,85040,84051
42,84374,83064
43,84712,83455
44,80817,80416
45,79124,78489
46,78378,77702
47,75471,75058
48,75831,75566
49,74104,74101
50,74374,75005
51,78311,78646
52,82723,82661
53,80960,80935
54,77704,77688
55,75933,76410
56,75890,76780
57,76616,77681
58,78615,80585
59,79836,82115
60,79721,82258
61,79875,82954
62,79551,83382
63,77759,81820
64,75718,80524
65,74479,79580
66,72342,78117
67,68223,74822
68,66170,73222
69,62726,70037
70,59202,66853
71,56335,64187
72,52891,61586
73,49474,58265
74,47055,56321
75,45373,54246
76,47137,56552
77,32325,40242
78,30132,38310
79,28722,37469
80,28594,38207
81,24024,32988
82,20766,29218
83,18136,26415
84,16287,24281
85+,85207,157404