Age,Gender,year_2020,year_2021,year_2022,year_2023
0,Male,71503,67363,65873,64627
1,Male,72937,70718,67042,65809
2,Male,75103,72306,70291,66976
3,Male,76851,74470,71856,70136
4,Male,79236,76220,74067,71760
5,Male,79817,78641,75677,73854
6,Male,79054,79225,77936,75460
7,Male,78485,78456,78628,77731
8,Male,79119,77892,77780,78403
9,Male,81031,78630,77316,77658
10,Male,83116,80469,78124,77131
11,Male,84598,82584,79930,77914
12,Male,87767,84113,82067,79822
13,Male,87925,87242,83465,81955
14,Male,87165,87358,86677,83336
15,Male,87300,86609,86790,86491
16,Male,88410,86977,86181,86824
17,Male,87559,88142,86792,86341
18,Male,84574,85186,85153,84081
19,Male,83598,82654,81810,82478
20,Male,84032,84243,82116,82962
21,Male,82580,83770,83648,82669
22,Male,82422,81990,82935,83679
23,Male,82834,81979,81584,83587
24,Male,83610,82143,81792,81915
25,Male,85579,82985,81973,82008
26,Male,87547,84825,82529,82089
27,Male,88501,86666,84237,82802
28,Male,89482,87636,86102,84508
29,Male,90006,88416,86652,85927
30,Male,90117,89012,87467,86607
31,Male,87872,89109,87984,87291
32,Male,87049,86869,88089,87792
33,Male,86872,85902,85724,87666
34,Male,88033,85822,84821,85242
35,Male,88585,86839,84765,84373
36,Male,86596,87552,85884,84256
37,Male,87578,85675,86444,85369
38,Male,87881,86649,84582,85861
39,Male,87060,86922,85393,83902
40,Male,87070,85921,85777,84754
41,Male,83327,86292,84991,85040
42,Male,81904,82521,85255,84374
43,Male,80888,80957,81567,84712
44,Male,78089,79985,79988,80817
45,Male,78376,77030,78843,79124
46,Male,76650,77699,76146,78378
47,Male,77429,75844,76681,75471
48,Male,81442,76571,74754,75831
49,Male,86207,80540,75522,74104
50,Male,84168,84874,79015,74374
51,Male,81088,83218,83679,78311
52,Male,79506,79915,81891,82723
53,Male,79692,78413,78631,80960
54,Male,80863,78525,77082,77704
55,Male,83252,79314,76928,75933
56,Male,85022,81856,77801,75890
57,Male,85054,83268,80121,76616
58,Male,85413,83217,81299,78615
59,Male,85643,83602,81293,79836
60,Male,83978,83465,81516,79721
61,Male,82134,81969,81395,79875
62,Male,81071,79937,79700,79551
63,Male,78862,78741,77588,77759
64,Male,74431,76483,76462,75718
65,Male,72191,72207,74112,74479
66,Male,68598,70071,70028,72342
67,Male,65101,66573,67908,68223
68,Male,62073,63063,64318,66170
69,Male,58385,60166,61075,62726
70,Male,54942,56351,57994,59202
71,Male,52559,53021,54426,56335
72,Male,51080,50619,51197,52891
73,Male,53389,49000,48629,49474
74,Male,36963,51271,47095,47055
75,Male,34925,35363,49101,45373
76,Male,33925,33263,33767,47137
77,Male,34216,32148,31673,32325
78,Male,29148,32287,30430,30132
79,Male,25550,27316,30270,28722
80,Male,22921,23921,25603,28594
81,Male,21142,21245,22307,24024
82,Male,19620,19361,19585,20766
83,Male,17284,17936,17792,18136
84,Male,15671,15570,16272,16287
85+,Male,82645,82492,82915,85207
0,Female,68423,63818,63199,62165
1,Female,69887,67865,63563,63268
2,Female,72130,69477,67563,63738
3,Female,73591,71591,69045,67443
4,Female,75706,73046,71104,68952
5,Female,76198,75109,72596,71065
6,Female,75137,75632,74509,72457
7,Female,75267,74635,75042,74392
8,Female,75859,74693,74110,74812
9,Female,76577,75396,74089,73903
10,Female,78816,76215,74816,73805
11,Female,80975,78400,75701,74685
12,Female,84413,80517,77844,75445
13,Female,84769,83991,79928,77678
14,Female,83651,84281,83561,79697
15,Female,83011,83151,83841,83373
16,Female,84171,82610,82673,83763
17,Female,83685,83805,82359,82653
18,Female,79316,79753,78978,77823
19,Female,79842,78621,77166,77681
20,Female,81197,81087,78684,79185
21,Female,79748,80823,80336,79218
22,Female,80359,79800,80804,81347
23,Female,81173,79189,79366,81693
24,Female,82293,80544,79515,80113
25,Female,84211,81317,80167,80108
26,Female,85988,83672,81018,80658
27,Female,87227,85047,83189,81152
28,Female,88973,86211,84292,83334
29,Female,89174,87954,85353,84237
30,Female,88562,88040,87110,85172
31,Female,85923,87514,87314,87000
32,Female,85425,84951,86546,86916
33,Female,85027,84552,83969,86182
34,Female,85720,84030,83747,83712
35,Female,86314,84644,83129,83237
36,Female,84868,85453,83748,82764
37,Female,86268,83961,84438,83274
38,Female,86365,85433,83058,84037
39,Female,85525,85635,84682,82671
40,Female,85868,84540,84621,84130
41,Female,82660,84919,83605,84051
42,Female,80672,81914,83984,83064
43,Female,79866,79928,80986,83455
44,Female,76932,79109,79083,80416
45,Female,77867,76236,78179,78489
46,Female,76546,77062,75499,77702
47,Female,77533,75696,76149,75058
48,Female,81227,76729,74715,75566
49,Female,85689,80393,75774,74101
50,Female,83955,84588,79141,75005
51,Female,80912,83055,83582,78646
52,Female,79584,79763,81833,82661
53,Female,80182,78580,78560,80935
54,Female,81238,78964,77381,77688
55,Female,84450,79983,77723,76410
56,Female,86260,83110,78745,76780
57,Female,86740,84771,81666,77681
58,Female,87573,85187,83236,80585
59,Female,88048,85845,83535,82115
60,Female,86814,86387,84195,82258
61,Female,85546,85113,84795,82954
62,Female,84848,83735,83324,83382
63,Female,83049,82868,81865,81820
64,Female,79706,81332,80996,80524
65,Female,77899,77839,79384,79580
66,Female,74570,76281,76136,78117
67,Female,71355,72965,74505,74822
68,Female,68745,69838,71335,73222
69,Female,65878,67196,68198,70037
70,Female,62618,64332,65552,66853
71,Female,60637,61054,62823,64187
72,Female,59114,59188,59598,61586
73,Female,61724,57495,57667,58265
74,Female,44346,59982,55874,56321
75,Female,42451,42916,58076,54246
76,Female,41903,41210,41621,56552
77,Female,43209,40355,39693,40242
78,Female,37664,41548,38815,38310
79,Female,33958,36174,39962,37469
80,Female,31124,32279,34459,38207
81,Female,29367,29644,30788,32988
82,Female,27867,27725,27994,29218
83,Female,25086,26185,26064,26415
84,Female,23289,23314,24305,24281
85+,Female,158753,156891,155744,157404
